"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",14.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.7,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1990",15.2,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1991",14.7,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1992",15,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1993",14.8,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1994",15.1,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1995",15.3,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1996",15.6,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1997",16,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1998",16.1,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","1999",16.3,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2000",16.8,
