"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.652,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.392,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.368,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1993",24.1,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1994",23.845,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1995",24.111,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1996",24.238,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1997",24.633,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1998",25.117,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1999",25.153,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2000",25.455,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2001",25.57,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2002",25.498,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2003",25.329,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2004",25.882,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2005",25.811,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2006",25.614,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2007",25.52,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2008",25.201,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2009",24.933,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2010",24.375,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2011",24.041,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2012",23.819,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2013",23.037,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2014",22.464,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1990",21.782,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1991",21.236,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1992",21.59,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1993",21.382,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1994",21.885,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1995",22.237,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1996",22.712,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1997",23.014,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1998",23.064,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1999",23.28,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2000",23.803,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2001",23.225,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2002",23.139,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2003",23.468,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2004",23.273,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2005",22.679,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2006",22.141,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2007",22.554,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2008",21.677,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2009",20.171,
