NO,TAHUN,B U L A N ,B I S MASUK,PENUMPANG MASUK,B I S KELUAR,PENUMPANG KELUAR
1,2012,JANUARI,17265,261798,16632,437423
2,2012,FEBRUARI,15535,228857,15037,376304
3,2012,M A R E T,16773,194252,16636,401046
4,2012,A P R I L,17042,184641,16697,424165
5,2012,M E I,17622,190451,17773,437853
6,2012,J U N I,16953,193779,17188,420327
7,2012,J U L I,17279,189801,18291,439785
8,2012,AGUSTUS,18885,207978,19302,502725
9,2012,SEPTEMBER,18054,150203,17832,420449
10,2012,OKTOBER,16641,264238,16997,413567
11,2012,NOVEMBER,16231,183640,16094,387652
12,2012,DESEMBER,17432,159713,16632,416356
13,2013,JANUARI,15986,196749,15879,196749
14,2013,FEBRUARI,15057,188857,15036,188857
15,2013,M A R E T,17007,194252,16329,194252
16,2013,A P R I L,15856,184641,15538,184641
17,2013,M E I,16597,190451,15939,190451
18,2013,J U N I,16498,193779,15814,193779
19,2013,J U L I,16130,189801,15360,189801
20,2013,AGUSTUS,15951,207978,15855,207978
21,2013,SEPTEMBER,14874,150203,14760,150203
22,2013,OKTOBER,16099,264238,15840,264238
23,2013,NOVEMBER,15947,183640,15122,183640
24,2013,DESEMBER,15927,189472,15816,189472
25,2014,JANUARI,16119,165193,16107,360456
26,2014,FEBRUARI,15060,124983,15038,271615
27,2014,M A R E T,19267,271335,19211,368791
28,2014,A P R I L,18952,215935,18846,351936
29,2014,M E I,17836,166352,17848,331768
30,2014,J U N I,18301,179209,18592,369846
31,2014,JULI,18023,194752,18298,349844
32,2014,AGUSTUS,18576,189643,18876,389203
33,2014,SEPTEMBER,17231,159496,17271,306500
34,2014,OKTOBER,18214,269139,18461,507731
35,2014,NOPEMBER,16198,172184,17256,316311
,,,,,,
,,,,,,
